,id,object_name,address,chain,object_type,number,street
0,11786,HABITAT COFFEE SHOP,3708 N EAGLE ROCK BLVD,False,Cafe,26,N EAGLE ROCK BLVD
1,11787,REILLY'S,100 WORLD WAY # 120,False,Restaurant,9,WORLD WAY
2,11788,STREET CHURROS,6801 HOLLYWOOD BLVD # 253,False,Fast Food,20,HOLLYWOOD BLVD
3,11789,TRINITI ECHO PARK,1814 W SUNSET BLVD,False,Restaurant,22,W SUNSET BLVD
4,11790,POLLEN,2100 ECHO PARK AVE,False,Restaurant,20,ECHO PARK AVE
5,11791,THE SPOT GRILL,10004 NATIONAL BLVD,False,Restaurant,14,NATIONAL BLVD
6,11792,CPK,100 WORLD WAY # 126,False,Restaurant,100,WORLD WAY
7,11793,PHO LALA,3500 W 6TH ST STE 226,False,Restaurant,7,W 6TH ST 
8,11794,ABC DONUTS,3027 N SAN FERNANDO RD UNIT 103,True,Fast Food,1,N SAN FERNANDO RD 
9,11795,UPSTAIRS,3707 N CAHUENGA BLVD,False,Restaurant,35,N CAHUENGA BLVD
10,11796,EL POLLO LOCO,5319 W SUNSET BLVD,True,Restaurant,38,W SUNSET BLVD
11,11797,POONG NYUN BAKERY,928 S WESTERN AVE STE 109,True,Bakery,17,S WESTERN AVE 
12,11798,EMC RESTAURANT GROUP LLC,3500 W 6TH ST STE 101,True,Restaurant,133,W 6TH ST 
13,11799,POPULAR DONUTS,3614 W SLAUSON AVE,False,Fast Food,18,W SLAUSON AVE
14,11800,CUSCATLECA BAKERY,2501 W SUNSET BLVD #A,True,Bakery,26,W SUNSET BLVD
15,11801,FOOD COURT TRAY WASHING AREA,928 S WESTERN AVE STE 300,True,Restaurant,21,S WESTERN AVE 
16,11802,HMS BOUNTY,3357 WILSHIRE BLVD,False,Restaurant,147,WILSHIRE BLVD
17,11803,AN'S CHAN BANG,244 S OXFORD AVE # 5,False,Restaurant,10,S OXFORD AVE
18,11804,MURAKAMI,7160 MELROSE AVE,False,Restaurant,139,MELROSE AVE
19,11805,DELTA SKY CLUB T3,300 WORLD WAY,False,Restaurant,103,WORLD WAY
20,11806,CRYSTAL CAFE,3500 W 6TH ST STE #321,False,Restaurant,16,W 6TH ST 
21,11807,ORANGE TREE CAFE,3500 W 6TH ST STE #220,False,Restaurant,14,W 6TH ST 
22,11808,CAMY'S GRILL,3339 WILSHIRE BLVD,False,Restaurant,39,WILSHIRE BLVD
23,11809,SABORES DEL PERU,1015 WALL ST STE 123,False,Restaurant,4,WALL ST 
24,11810,M CAFE DE CHAYA,7119 MELROSE AVE,True,Restaurant,43,MELROSE AVE
25,11811,INDIA'S GRILL,428 S SAN VICENTE BLVD,False,Restaurant,48,S SAN VICENTE BLVD
26,11812,LA INDIA BONITA CAFE,1277 S INDIANA ST,False,Restaurant,19,S INDIANA ST
27,11813,NORM'S RESTAURANT,470 N LA CIENEGA BLVD,True,Restaurant,80,N LA CIENEGA BLVD
28,11814,BEVERLY FALAFEL,8508 W 3RD ST,False,Restaurant,31,W 3RD ST
29,11815,KRISPY KRUNCHY CHICKEN - ALVARADO,600 S ALVARADO ST STE 111C,True,Restaurant,15,S ALVARADO ST 
30,11816,CAFE 153,1125 3/4 WALL ST,False,Restaurant,5,3/4 WALL ST
31,11817,DUNES RESTAURANT,5625 W SUNSET BLVD,True,Restaurant,118,W SUNSET BLVD
32,11818,THE FOUNDATION CENTER,11633 S WESTERN AVE,False,Restaurant,182,S WESTERN AVE
